MasterTax_Order,MasterTax_Family,MasterTax_SciName,2nd locality exists?,lat_dec,lon_dec
RODENTIA,CRICETIDAE,Abrawayaomys_chebezi,no,-25.680115,-54.50806
RODENTIA,CRICETIDAE,Abrothrix_manni,no,-41.647633,-72.172217
RODENTIA,MURIDAE,Acomys_ngurui,no,-6.42,37.37
RODENTIA,CRICETIDAE,Akodon_josemariarguedasi,no,-10.15,-76.133333
CHIROPTERA,VESPERTILIONIDAE,Barbastella_beijingensis,no,39.716667,115.75
RODENTIA,MURIDAE,Bunomys_karokophilus,no,-1.383333,119.966667
CHIROPTERA,PTEROPODIDAE,Casinycteris_campomaanensis,no,2.383333,10.033333
EULIPOTYPHLA,SORICIDAE,Crocidura_batakorum,no,9.733333,118.716667
EULIPOTYPHLA,SORICIDAE,Crocidura_fingui,no,1.624,7.405972
EULIPOTYPHLA,SORICIDAE,Crocidura_panayensis,no,11.8198,121.967733
EULIPOTYPHLA,SORICIDAE,Crocidura_phuquocensis,no,10.381389,104.005278
EULIPOTYPHLA,SORICIDAE,Cryptotis_aroensis,no,10.367389,-68.822333
EULIPOTYPHLA,SORICIDAE,Cryptotis_mam,no,15.6,-91.616667
EULIPOTYPHLA,SORICIDAE,Cryptotis_oreoryctes,no,15.383333,-90.066667
EULIPOTYPHLA,SORICIDAE,Cryptotis_perijensis,no,10.35,-72.95
EULIPOTYPHLA,SORICIDAE,Cryptotis_venezuelensis,no,10.41,-67.221111
RODENTIA,NESOMYIDAE,Dendromus_lachaisei,no,7.646333,-8.451883
DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus_peruanus,no,-9.133333,-75.95
RODENTIA,MURIDAE,Grammomys_selousi,no,-8.453889,38.652778
RODENTIA,MURIDAE,Halmaheramys_bokimekot,no,0.611833,128.046944
RODENTIA,HETEROMYIDAE,Heteromys_catopterius,no,10.35,-67.666667
RODENTIA,MURIDAE,Hylomyscus_arcimontensis,no,-5.1,38.6
RODENTIA,MURIDAE,Hylomyscus_pamfi,no,6.96445,2.16235
RODENTIA,MURIDAE,Hylomyscus_walterverheyeni,no,-2.15,10.5
RODENTIA,CHINCHILLIDAE,Lagidium_ahuacaense,no,-4.300556,-79.546389
CHIROPTERA,PHYLLOSTOMIDAE,Lophostoma_kalkoae,no,9.163889,-79.752778
RODENTIA,MURIDAE,Lophuromys_chercherensis,no,9.328611,41.264722
RODENTIA,MURIDAE,Lophuromys_kilonzoi,no,-4.75,38.283333
RODENTIA,MURIDAE,Lophuromys_machangui,no,-9.166667,33.65
RODENTIA,MURIDAE,Lophuromys_makundii,no,-4.466667,35.383333
RODENTIA,MURIDAE,Lophuromys_menageshae,no,8.95,38.55
RODENTIA,MURIDAE,Lophuromys_pseudosikapusi,no,7.066667,35.5
